name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
Brey,,Extracted_IFCT,100,414.0,22.0,77.0,2.0,,,,IFCT2017_OCR
Rca pled,,Extracted_IFCT,100,149.0,6.0,2.0,13.0,,,,IFCT2017_OCR
"Ric, prboe, med",,Extracted_IFCT,100,309.0,6.0,69.0,1.0,6.0,,,IFCT2017_OCR
"Cowpea, brown",,Extracted_IFCT,100,69.4,6.0,8.752009,1.154006,,,,IFCT2017_OCR
"Cowpea, white",,Extracted_IFCT,100,279.0,1.0,,,14.0,,,IFCT2017_OCR
"Field bean, black",,Extracted_IFCT,100,146.7,1.0,19.93,7.0,,,,IFCT2017_OCR
"Field bean, brown",,Extracted_IFCT,100,45.24,1.0,0.98,,22.4,,,IFCT2017_OCR
"Fiold bean, white",,Extracted_IFCT,100,50.7,5.0,5.544226,0.942002,,,,IFCT2017_OCR
"Horse gram, whole",,Extracted_IFCT,100,55.7,6.0,0.624008,3.244011,7.88002,,,IFCT2017_OCR
Math bea,,Extracted_IFCT,100,98.0,6.0,,,49.0,,,IFCT2017_OCR
"Soybna, brown",,Extracted_IFCT,100,133.0,6.0,7.0,9.0,21.0,,,IFCT2017_OCR
etal eaves big,,Extracted_IFCT,100,268.0,2.0,2.0,28.0,18.0,,,IFCT2017_OCR
rumstick eaves,,Extracted_IFCT,100,521.0,3.0,35.0,41.0,24.0,,,IFCT2017_OCR
Lettuce Late stv),,Extracted_IFCT,100,37.0,3.0,4.0,1.0,1.11004,,,IFCT2017_OCR
Radish leaves,,Extracted_IFCT,100,222.3,1.191053,51.0,1.508021,0.0,,,IFCT2017_OCR
"Bamboo shoot, tender",,Extracted_IFCT,100,49.0,1.0,3.0,,,,,IFCT2017_OCR
Brinja-t,,Extracted_IFCT,100,420.0,1.0,,39.0,,,,IFCT2017_OCR
Brinja-2,,Extracted_IFCT,100,200.0,2.0,,90.28,,,,IFCT2017_OCR
Brinja-s,,Extracted_IFCT,100,146.0,2.0,,,3.1,,,IFCT2017_OCR
Brinjal-S,,Extracted_IFCT,100,19.7,3.0,0.284006,0.724012,4.13407,,,IFCT2017_OCR
Brinja-8,,Extracted_IFCT,100,43.0,8.0,0.934008,0.804005,4.013048,,,IFCT2017_OCR
Brinjat-9,,Extracted_IFCT,100,382.0,9.0,1.0,,35.0,,,IFCT2017_OCR
Brinjal-t1,,Extracted_IFCT,100,13.4,1.0,0.813008,0.684007,4.128052,,,IFCT2017_OCR
Brinjal-t2,,Extracted_IFCT,100,119.0,2.0,,20.94,,,,IFCT2017_OCR
Brinja-t3,,Extracted_IFCT,100,451.0,3.0,,80.14,,,,IFCT2017_OCR
Brinjal-t4,,Extracted_IFCT,100,23.2,4.0,0.351003,0.644002,3.878059,,,IFCT2017_OCR
Brinja-t5,,Extracted_IFCT,100,918.4,5.0,0.86,99.44,0.741005,,,IFCT2017_OCR
Brinjal-16,,Extracted_IFCT,100,120.0,16.0,39.0,0.0,,,,IFCT2017_OCR
Brinja-t7,,Extracted_IFCT,100,134.0,7.0,,20.83,36.0,,,IFCT2017_OCR
Brinjal-t8,,Extracted_IFCT,100,88.0,8.0,0.78,0.0,,,,IFCT2017_OCR
Brinjal-20,,Extracted_IFCT,100,87.5,20.0,0.344008,0.681008,3.754021,,,IFCT2017_OCR
Brinjal-24,,Extracted_IFCT,100,128.0,24.0,,,35.0,,,IFCT2017_OCR
Brinja,,Extracted_IFCT,100,50.0,0.704008,2.848052,3.982049,1.148022,,,IFCT2017_OCR
Broad beans,,Extracted_IFCT,100,28.9,3.0,3.854013,0.17,,,,IFCT2017_OCR
"Capsicum, green",,Extracted_IFCT,100,32.2,6.0,0.348003,0.761005,2.068022,,,IFCT2017_OCR
Cho-chomarow,,Extracted_IFCT,100,67.0,4.0,3.0,0.0,5.0,,,IFCT2017_OCR
"Colocasia, stom green",,Extracted_IFCT,100,47.4,5.0,2.354005,2.0,,,,IFCT2017_OCR
"Com, baby aay)",,Extracted_IFCT,100,42.9,6.0,0.23,2.0,2.0,,,IFCT2017_OCR
"Frenchbeans, county",,Extracted_IFCT,100,54.0,5.0,4.0,2.0,9.484095,,,IFCT2017_OCR
Kol,,Extracted_IFCT,100,145.0,6.0,28.0,1.0,7.0,,,IFCT2017_OCR
"Dates, dry, dark brown",,Extracted_IFCT,100,153.0,2.0,,,35.0,,,IFCT2017_OCR
Jack frit ripe,,Extracted_IFCT,100,283.0,5.0,,,0.912008,,,IFCT2017_OCR
Liteh Lich chinensis),,Extracted_IFCT,100,412.2,4.0,0.06,44.0,,,,IFCT2017_OCR
Plum Panis deste,,Extracted_IFCT,100,309.0,2.0,19.0,25.0,1.0,,,IFCT2017_OCR
Rambutan,,Extracted_IFCT,100,8.5,1.0,0.16,0.43,,,,IFCT2017_OCR
Sapota,,Extracted_IFCT,100,35.0,6.0,0.682005,0.924007,1.262002,,,IFCT2017_OCR
Soursop,,Extracted_IFCT,100,869.8,1.0,4.95,94.0,,,,IFCT2017_OCR
Strawberry Fragaria x ananasso),,Extracted_IFCT,100,31.1,6.0,0.562002,0.542002,2.502003,,,IFCT2017_OCR
"Tamarind, pulp",,Extracted_IFCT,100,55.6,6.0,0.152002,3.442031,5.912027,,,IFCT2017_OCR
eid dark green,,Extracted_IFCT,100,383.8,94.0,0.354011,0.708014,0.348005,,,IFCT2017_OCR
Zizyphus,,Extracted_IFCT,100,102.0,1.0,0.8,,38.0,,,IFCT2017_OCR
"Carrot, orange",,Extracted_IFCT,100,36.3,6.0,0.472002,1.162009,4.18205,,,IFCT2017_OCR
"Carrot, red",,Extracted_IFCT,100,38.2,4.0,4.492019,0.472004,1.402021,,,IFCT2017_OCR
Lotus root,,Extracted_IFCT,100,29.3,3.0,0.952005,1.50201,4.702008,,,IFCT2017_OCR
"Potato, brown skin, small",,Extracted_IFCT,100,44.4,1.0,7.0,1.38,22.0,,,IFCT2017_OCR
"Potato, red skin",,Extracted_IFCT,100,306.0,1.0,,,22.0,,,IFCT2017_OCR
"Radish, elongate, red skin",,Extracted_IFCT,100,83.0,3.0,2.0,7.0,0.134002,,,IFCT2017_OCR
"Yam, ordinary",,Extracted_IFCT,100,31.5,4.0,0.173002,1.644019,4.088007,,,IFCT2017_OCR
Curry leaves,,Extracted_IFCT,100,72.0,6.0,1.062004,4.862058,13.812043,,,IFCT2017_OCR
"Garlic, small clove",,Extracted_IFCT,100,35.2,3.0,5.47007,0.142001,2.864007,,,IFCT2017_OCR
"Garlic, single clove, Kashmir",,Extracted_IFCT,100,181.0,1.0,,,0.16,,,IFCT2017_OCR
"Ginger, fresh",,Extracted_IFCT,100,345.9,81.278022,0.854003,1.934013,5.96204,,,IFCT2017_OCR
Mint leaves,,Extracted_IFCT,100,45.1,4.0,5.802049,0.654005,2.908096,,,IFCT2017_OCR
"Onion, big",,Extracted_IFCT,100,38.5,6.0,0.242003,1.50801,,,,IFCT2017_OCR
Asafoetida,,Extracted_IFCT,100,104.7,6.0,5.908012,6.344053,1.262002,,,IFCT2017_OCR
"Cardamom, black",,Extracted_IFCT,100,107.7,4.0,7.84404,6.698031,2.802024,,,IFCT2017_OCR
Cloves,,Extracted_IFCT,100,111.6,6.0,8.412015,5.998023,,,,IFCT2017_OCR
Coriander seeds,,Extracted_IFCT,100,458.7,6.0,95.272177,5.962015,,,,IFCT2017_OCR
Fenugreek seeds,,Extracted_IFCT,100,101.3,6.0,19.0,0.15,,,,IFCT2017_OCR
Mace,,Extracted_IFCT,100,163.5,6.0,20.814023,6.248027,16.782023,,,IFCT2017_OCR
"Coconut, kernel, dry",,Extracted_IFCT,100,95.9,6.0,1.614017,7.274002,,,,IFCT2017_OCR
"Gingelly seeds, black",,Extracted_IFCT,100,248.0,6.0,43.0,5.781022,10.0,,,IFCT2017_OCR
Khoa,,Extracted_IFCT,100,285.3,6.0,20.0,20.14,,,,IFCT2017_OCR
sheep spleen,,Extracted_IFCT,100,243.2,1.0,17.0,19.02,9.02,,,IFCT2017_OCR
Beet heart,,Extracted_IFCT,100,413.0,5.0,60.0,17.0,,,,IFCT2017_OCR
Beet keys,,Extracted_IFCT,100,326.2,3.0,40.3,17.0,1.221004,,,IFCT2017_OCR
Catt chops,,Extracted_IFCT,100,340.0,2.0,20.0,28.0,,,,IFCT2017_OCR
Kalamaara,,Extracted_IFCT,100,200.3,2.0,1.08,20.89,4.54,,,IFCT2017_OCR
Nala bontha,,Extracted_IFCT,100,186.4,1.0,1.0,19.82,0.72,,,IFCT2017_OCR
Piranha,,Extracted_IFCT,100,191.9,1.0,0.93,20.46,5.43,,,IFCT2017_OCR
"Eggs, Cat fish",,Extracted_IFCT,100,233.6,1.0,1.87,24.68,5.28,,,IFCT2017_OCR
"Squid, red",,Extracted_IFCT,100,158.8,2.0,1.15,16.25,,,,IFCT2017_OCR
